year,month,value
1838,9,-0.777
1838,10,-0.733
1838,11,-0.697
1838,12,-0.697
1839,1,-0.673
1839,2,-0.613
1839,3,-0.627
1839,4,-0.67
1839,5,-0.779
1839,6,-0.9
1839,7,-0.857
1839,8,-0.973
1839,9,-0.859
1839,10,-0.869
1839,11,-0.804
1839,12,-0.766
1840,1,-0.763
1840,2,-0.855
1840,3,-0.853
1840,4,-0.911
1840,5,-0.908
1840,6,-0.85
1840,7,-1.036
1840,8,-1.007
1840,9,-1.076
1840,10,-1.169
1840,11,-1.214
1840,12,-1.245
1841,1,-1.254
1841,2,-1.211
1841,3,-1.226
1841,4,-1.133
1841,5,-1.092
1841,6,-1.046
1841,7,-0.958
1841,8,-0.948
1841,9,-0.743
1841,10,-0.621
1841,11,-0.63
1841,12,-0.659
1842,1,-0.731
1842,2,-0.762
1842,3,-0.751
1842,4,-0.777
1842,5,-0.755
1842,6,-0.653
1842,7,-0.532
1842,8,-0.421
1842,9,-0.498
1842,10,-0.531
1842,11,-0.576
1842,12,-0.588
1843,1,-0.564
1843,2,-0.562
1843,3,-0.54
1843,4,-0.51
1843,5,-0.504
1843,6,-0.493
1843,7,-0.589
1843,8,-0.744
1843,9,-0.748
1843,10,-0.784
1843,11,-0.775
1843,12,-0.745
1844,1,-0.746
1844,2,-0.765
1844,3,-0.79
1844,4,-0.787
1844,5,-0.831
1844,6,-0.997
1844,7,-0.945
1844,8,-0.992
1844,9,-1.018
1844,10,-0.958
1844,11,-0.93
1844,12,-0.925
1845,1,-0.887
1845,2,-0.839
1845,3,-0.813
1845,4,-0.893
1845,5,-0.824
1845,6,-0.839
1845,7,-0.777
1845,8,-0.614
1845,9,-0.452
1845,10,-0.503
1845,11,-0.464
1845,12,-0.41
1846,1,-0.362
1846,2,-0.318
1846,3,-0.275
1846,4,-0.236
1846,5,-0.24
1846,6,-0.08
1846,7,-0.13
1846,8,-0.118
1846,9,-0.32
1846,10,-0.28
1846,11,-0.307
1846,12,-0.357
1847,1,-0.409
1847,2,-0.472
1847,3,-0.488
1847,4,-0.456
1847,5,-0.415
1847,6,-0.571
1847,7,-0.754
1847,8,-0.732
1847,9,-0.663
1847,10,-0.655
1847,11,-0.658
1847,12,-0.631
1848,1,-0.612
1848,2,-0.615
1848,3,-0.66
1848,4,-0.651
